statefips,year,month,ds_o3_pred
12,2014,6,34.11905271433411
12,2014,7,32.59067161956556
12,2014,8,33.18260191759622
12,2014,9,28.275050203063014
12,2014,10,40.458678428940416
12,2014,11,36.43417531068274
12,2014,12,31.37549376745451
13,2011,1,32.35779985932629
13,2011,2,39.40749793512992
13,2011,3,42.807039812166124
13,2011,4,46.17044586908013
13,2011,5,51.25726450353788
13,2011,6,53.71863777494867
13,2011,7,46.89250784329067
13,2011,8,55.377633540814
13,2011,9,43.81850064942941
13,2011,10,41.34765686056692
13,2011,11,33.37021701200976
13,2011,12,29.137684602624034
13,2012,1,31.0840298144482
13,2012,2,34.96148278622681
13,2012,3,42.40898055471638
13,2012,4,47.755006126527704
13,2012,5,48.52135349924667
13,2012,6,48.85866618377621
13,2012,7,43.05720764213921
13,2012,8,41.09924459026649
13,2012,9,38.848890648457576
13,2012,10,36.76051730837405
13,2012,11,36.5766615051972
13,2012,12,30.070993524899897
13,2013,1,31.64396031669804
13,2013,2,38.19247467780948
13,2013,3,45.72846992551509
13,2013,4,44.9748753016308
13,2013,5,44.154170734410016
13,2013,6,36.73644158919954
13,2013,7,31.65195029502482
13,2013,8,34.27132184731126
13,2013,9,41.62824729714031
13,2013,10,35.20297494344474
13,2013,11,30.787200117947908
13,2013,12,27.87493100418061
13,2014,1,32.35903758111514
13,2014,2,35.80321526066162
13,2014,3,42.827481000870385
13,2014,4,46.70936597362652
13,2014,5,46.291215769983076
13,2014,6,39.83584495672684
13,2014,7,40.651205455065956
13,2014,8,42.4816053447717
13,2014,9,32.62804779596448
13,2014,10,37.57150761663162
13,2014,11,33.08196995362103
13,2014,12,24.78360943661714
16,2011,1,32.36646935225521
16,2011,2,39.6935036144535
16,2011,3,44.86078850350055
16,2011,4,47.22402185460299
16,2011,5,48.0509039877321
16,2011,6,46.69707699738416
16,2011,7,46.03759532692408
16,2011,8,50.2532320215284
16,2011,9,45.66591009479567
16,2011,10,34.120309522028634
16,2011,11,33.736357900223716
16,2011,12,26.77629706166869
16,2012,1,30.729927195164933
16,2012,2,35.61623010228059
16,2012,3,42.042032555542825
16,2012,4,46.57602008332572
16,2012,5,50.21033285598169
16,2012,6,46.03000927039834
16,2012,7,50.784252196765834
16,2012,8,51.36176548885928
16,2012,9,45.93961812108865
16,2012,10,33.61108149392803
16,2012,11,29.35555477548918
16,2012,12,31.92592463333644
16,2013,1,30.480847890713903
16,2013,2,37.95816722567295
16,2013,3,43.38811710703403
16,2013,4,44.824621647196764
16,2013,5,45.19577674876825
16,2013,6,41.87049469008234
