statefips,year,month,ds_pm_pred
5,2013,8,12.435537945180169
5,2013,9,12.564079719972746
5,2013,10,7.702405645764151
5,2013,11,7.772270631473681
5,2013,12,10.934271838008895
5,2014,1,7.497163976293174
5,2014,2,10.219118197956385
5,2014,3,10.922735104216972
5,2014,4,8.915127593774153
5,2014,5,8.195086423478552
5,2014,6,11.070796013086953
5,2014,7,12.07022439763634
5,2014,8,12.370147626854903
5,2014,9,10.600744193633355
5,2014,10,8.186105101965143
5,2014,11,8.137940655256633
5,2014,12,10.064971234475546
6,2011,1,13.525742943125877
6,2011,2,8.360702112891016
6,2011,3,6.891745186641758
6,2011,4,7.502504866372413
6,2011,5,7.524104751446305
6,2011,6,8.750715674144942
6,2011,7,9.30447478097282
6,2011,8,9.227225645635086
6,2011,9,11.124552439596913
6,2011,10,11.339167922317184
6,2011,11,11.31634795731015
6,2011,12,17.88616033951117
6,2012,1,11.403477132707968
6,2012,2,7.227412022142151
6,2012,3,5.539408380436393
6,2012,4,6.2739159502127215
6,2012,5,8.711361841428383
6,2012,6,6.467386285624842
6,2012,7,8.048445422732549
6,2012,8,9.547786749671618
6,2012,9,9.097025867605534
6,2012,10,6.929955683863082
6,2012,11,9.19261918699657
6,2012,12,8.448396241440232
6,2013,1,12.078904225542082
6,2013,2,8.782736101195086
6,2013,3,7.577998433014205
6,2013,4,6.2095445124369
6,2013,5,7.500282686503758
6,2013,6,6.591799176967622
6,2013,7,8.829387773529724
6,2013,8,8.660201619355
6,2013,9,6.3490186185059745
6,2013,10,9.28188587325359
6,2013,11,10.523317091590265
6,2013,12,15.148238549464839
6,2014,1,14.804940701766867
6,2014,2,8.946941716925055
6,2014,3,7.387716261122627
6,2014,4,7.865542672432779
6,2014,5,8.073966205446157
6,2014,6,9.865591741615043
6,2014,7,8.368071680171202
6,2014,8,9.318312186482766
6,2014,9,9.709370106226737
6,2014,10,7.7499269772910075
6,2014,11,9.811950649384544
6,2014,12,8.20828617271551
8,2011,1,7.342313364390249
8,2011,2,5.902552900748154
8,2011,3,5.835818935920209
8,2011,4,5.211117854225619
8,2011,5,5.309197552674601
8,2011,6,8.470552208284527
8,2011,7,6.7183566680200775
8,2011,8,6.237883002449566
8,2011,9,6.223667855627666
8,2011,10,5.614226365714235
8,2011,11,6.278719047111197
8,2011,12,9.288698229706553
8,2012,1,4.848676281505041
8,2012,2,6.9171311440699945
8,2012,3,5.416121466258785
8,2012,4,5.041139897125347
8,2012,5,6.645000968920826
8,2012,6,7.634001363302368
8,2012,7,6.680220256206501
